音频文件：开创大道.m4a
转写模型：whisper.cpp small

[00:00:00 - 00:00:01] 那我介绍一下吗
[00:00:01 - 00:00:03] 好的 面试官你好
[00:00:03 - 00:00:04] 我叫梁家塞
[00:00:04 - 00:00:07] 我面试的岗位就是测试功能师
[00:00:07 - 00:00:10] 然后我之前
[00:00:10 - 00:00:15] 我有过一年左右的一个工作经验
[00:00:15 - 00:00:16] 然后我之前就是
[00:00:16 - 00:00:18] 主要做的就是一些功能测试
[00:00:18 - 00:00:20] 接口测试要求我这段话测试
[00:00:20 - 00:00:21] 然后我的
[00:00:21 - 00:00:23] 我这个项目就是
[00:00:23 - 00:00:26] 主要是一个生活服务的一个综合的平台
[00:00:26 - 00:00:29] 然后这个
[00:00:29 - 00:00:30] 嗯
[00:00:30 - 00:00:32] 这个平台的项目就是
[00:00:32 - 00:00:35] 他有几个端口就是一个
[00:00:35 - 00:00:38] 用户端还有服务端还有管理后台
[00:00:38 - 00:00:39] 还有一个
[00:00:39 - 00:00:41] 门店的一个端口
[00:00:41 - 00:00:44] 然后他就有包含的有一些订单啊
[00:00:44 - 00:00:45] 订单的支付啊
[00:00:45 - 00:00:46] 还有一些
[00:00:46 - 00:00:48] 退款啊
[00:00:48 - 00:00:48] 还有会员啊
[00:00:48 - 00:00:53] 就有一些营销的一些抹块运营的一些管理后台运营的一些
[00:00:53 - 00:00:54] 抹块会员啊
[00:00:54 - 00:00:56] 物料商城的这种一些
[00:00:56 - 00:00:57] 嗯
[00:00:57 - 00:00:59] 属于商城的一些抹块吧
[00:00:59 - 00:01:00] 嗯
[00:01:00 - 00:01:01] 然后这个项
[00:01:01 - 00:01:02] 这个项目
[00:01:02 - 00:01:03] 嗯
[00:01:03 - 00:01:07] 这个项目的特点就是他那个比较多状态
[00:01:07 - 00:01:08] 啊
[00:01:08 - 00:01:09] 多角色
[00:01:09 - 00:01:09] 啊
[00:01:09 - 00:01:10] 就
[00:01:10 - 00:01:11] 不要
[00:01:11 - 00:01:14] 主要关注的就是他的一些
[00:01:14 - 00:01:16] 所谓状态流转啊
[00:01:16 - 00:01:17] 这还有一些
[00:01:17 - 00:01:19] 义务以至性
[00:01:19 - 00:01:21] 就是
[00:01:21 - 00:01:25] 主要重点关注这几个方面还有就是
[00:01:25 - 00:01:26] 在这个项目中
[00:01:26 - 00:01:29] 我就要做就是参与一些需求的评审
