音频文件：黄埔大道中.m4a
转写模型：whisper.cpp small

[00:00:00 - 00:00:07] 欢迎你来面试的我们这一轮面试官的话首先我是一双平均这位是这个赶回的知识上级应该
[00:00:07 - 00:00:13] 对然后出示现面的话也是你自我介绍一下好的呃面试官们你们好啊我叫人家探视
[00:00:13 - 00:00:14] 啊有
[00:00:14 - 00:00:17] 一人左右的一个轮廉测试的一个经验
[00:00:17 - 00:00:23] 然后我主要负责就是功能测试结构测试然后也做过结构真的话一个测试
[00:00:24 - 00:00:29] 然后我现在呃用试的这个项目就是他一个生活服务的一个平台
[00:00:29 - 00:00:35] 然后他就是包括呃有模式大概就是一个偶尔偶尔的一个
[00:00:35 - 00:00:41] 模式然后就是包括有一个用户端服务端管理后台一个端口三个端口
[00:00:41 - 00:00:42] 然后就是
[00:00:42 - 00:00:47] 我付款了一个下单转单啊然后一个
[00:00:48 - 00:00:54] 有有汇捐然后像就是支付然后退款然后结算的一个这些即数模块
[00:00:54 - 00:00:56] 然后呃
[00:00:56 - 00:01:00] 这个项目的一个特点的话就是他
[00:01:00 - 00:01:07] 多角色然后状态的话也是比较不同角色之间的状态也订单状态也是不一样
[00:01:07 - 00:01:15] 然后这种的话就要注意那种多人他做状态的一个流转还有数据的一个遗址性
[00:01:16 - 00:01:22] 然后我我在这个项目负责的话就是参与了一个需求评审还有一个测试用力的一个
[00:01:22 - 00:01:27] 测试点一个生成和编写和与执行测试用力
[00:01:27 - 00:01:30] 然后就是呃就
[00:01:30 - 00:01:36] 还有设计一些正常正常啊异常值还有一些边界值像那种
[00:01:36 - 00:01:37] 嗯
[00:01:37 - 00:01:42] 重复重复之复啊像还有一些又会卷的一个
[00:01:44 - 00:01:49] 呃又会卷的一个异常还有金额的一个特殊金额的这么一个下单的一个去
[00:01:49 - 00:01:51] 呃测试
[00:01:51 - 00:02:02] 然后我自己的话自己也做过一个是b2c的一个上层系统啊这个系统的话我是主要是做一个接口这的话一个设施框架用那个
[00:02:02 - 00:02:06] 拍摄还有啊request 还有一个压庙啊
[00:02:06 - 00:02:08] 这么一个格式去
